title,image_url,date,location,price
Air Conditioner — window unit,https://images.craigslist.org/00D0D_b0SQrTdVIAcz_0t20CI_600x450.jpg,2021-09-04 16:01,(Los Angeles central LA 213/323 ),$75
@@@ HIGH QUALITY WASHER DRYER AND STACKABLE @@@,https://images.craigslist.org/00909_9SvY9bG90Py_09G07g_600x450.jpg,2021-09-04 16:01,(OC/LA/IE central LA 213/323 ),$130
Almost New 24 in fridge,https://images.craigslist.org/00w0w_jOqBM8jccNKz_0t20CI_600x450.jpg,2021-09-04 15:59,( san fernando valley ),$250
"Frigidaire 27'' Stainless Steel Single Electric Wall Oven 

Model: FFEW2726TS",https://images.craigslist.org/00T0T_kBRVucu19tNz_0hl0jL_600x450.jpg,2021-09-04 15:57,( san fernando valley ),$600
MICRO MOVES AT MICRO RATES (HOLLYWOOD & SURROUNDING TOWNS),https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/330px-No-Image-Placeholder.svg.png,2021-09-04 15:57,(Hollywood central LA 213/323 ),$0
Vintage Rival Crock Pot Stoneware Slow Cooker Model 3355 WORKS,https://images.craigslist.org/00y0y_8FMZQBAQZ9Zz_0kA0dW_600x450.jpg,2021-09-04 15:56,(silver lake central LA 213/323 ),$75
"Hamilton Beach 46205 Programmable, Coffee Maker, Standard",https://images.craigslist.org/00k0k_8VZpXEKMPfuz_0yg0Uy_600x450.jpg,2021-09-04 15:55,(Woodland Hills san fernando valley ),$45
POPCORN MACHINE,https://images.craigslist.org/00e0e_ejul2yVhzSr_600x450.jpg,2021-09-04 15:55,(Santa Clarita Valley san fernando valley ),$300
Dishwashers !REFRIGERATORS! STOVES GENTLY USED,https://images.craigslist.org/00w0w_kTos2175Lwjz_0t20CI_600x450.jpg,2021-09-04 15:53,(Van Nuys san fernando valley ),$0
STOVE GRILLEVATOR,https://images.craigslist.org/00j0j_kTrbhwSTkpY_0A80lG_600x450.jpg,2021-09-04 15:53,(Reseda san fernando valley ),$30
Zojirushi CD-LCC Water Boiler and Warmer,https://images.craigslist.org/00T0T_5WThgsQMdSEz_07K0ak_600x450.jpg,2021-09-04 15:51,(West Los Angeles westside-southbay-310 ),$25
"LG 12,000 BTU Portable AC",https://images.craigslist.org/00303_auOasKNfdRIz_0AA132_600x450.jpg,2021-09-04 15:51,(Studio City san fernando valley ),$350
"Kitchenaid Whirlpool Upper, Lower Dishwasher Racks, plus - price each",https://images.craigslist.org/01414_l3m6irpDefSz_0x20oM_600x450.jpg,2021-09-04 15:50,(East Ventura san fernando valley ),$50
Portable AC Unit 8000 volts,https://images.craigslist.org/00i0i_hYNO3CPsbkxz_0t20t2_600x450.jpg,2021-09-04 15:49,(North hills san fernando valley ),$135
Brand new never used cold press juicer pro from Ninja,https://images.craigslist.org/00r0r_fPs6oKYg72Mz_0CF0t2_600x450.jpg,2021-09-04 15:48,(Santa monica westside-southbay-310 ),$50
Samsung WA50M7450AP/A4 Laundry Washing Machine,https://images.craigslist.org/00c0c_8Ni2zY2iGWez_0t20CI_600x450.jpg,2021-09-04 15:47,(Los Angeles central LA 213/323 ),$400
REFRIGERATORS!Refrigerators! All come with Warranty,https://images.craigslist.org/00p0p_1mXJt729t4dz_0t20CI_600x450.jpg,2021-09-04 15:47,(Van Nuys san fernando valley ),$0
"Frigidaire 27'' Stainless Steel Single Electric Wall Oven 

Model: FFEW2726TS",https://images.craigslist.org/00T0T_kBRVucu19tNz_0hl0jL_600x450.jpg,2021-09-04 15:47,( san fernando valley ),$600
washer and dryer,https://images.craigslist.org/00T0T_5bMtdyZif6az_09G07g_600x450.jpg,2021-09-04 15:46,(Los Angeles central LA 213/323 ),$350
Vintage Gaffers and Sattler Stove Oven 30 inch,https://images.craigslist.org/00B0B_rFhfIjxMAMz_0CI0t2_600x450.jpg,2021-09-04 15:46,(West Hollywood central LA 213/323 ),$50
Cuisinart Premier Series Prep 9,https://images.craigslist.org/00202_7wrzif0XCKOz_0eS0gW_600x450.jpg,2021-09-04 15:45,(West Hollywood westside-southbay-310 ),$57
Natural Gas Grill BBQ barbeque Smoker - Sears - Cast Iron Housing,https://images.craigslist.org/01717_aCqwLY96tb6z_0kE0fu_600x450.jpg,2021-09-04 15:44,(East Ventura san fernando valley ),$50
Stoves*Refrigerators*Dishwashers*Low Prices,https://images.craigslist.org/00J0J_2mX2sMg0mT6z_0jm0pO_600x450.jpg,2021-09-04 15:43,(Van Nuys san fernando valley ),$0
GE Hotpoint Counter Saver Plus Over-the-Range Microwave Oven RVM1435WD,https://images.craigslist.org/00I0I_71ykoh7LVFUz_0ak07K_600x450.jpg,2021-09-04 15:43,(East Ventura san fernando valley ),$75
AC Unit 8000 volts,https://images.craigslist.org/00p0p_2DElL9uVIQNz_0t20t2_600x450.jpg,2021-09-04 15:42,(North Hills West san fernando valley ),$135
CARPET CLEANER HOOVER,https://images.craigslist.org/00y0y_44LCDq4DBsJz_0t20CI_600x450.jpg,2021-09-04 15:40,(West LA westside-southbay-310 ),$45
Gently Used Refrigerators*stoves*and more...,https://images.craigslist.org/00E0E_6AvPKvjjrRlz_0t20CI_600x450.jpg,2021-09-04 15:39,(Van Nuys san fernando valley ),$0
Weber Spirit SP-335 Gas Grill,https://images.craigslist.org/00101_cx8MlJJbWs3z_0CI0t2_600x450.jpg,2021-09-04 15:38,(La Canada Flintridge san gabriel valley ),$450
Compact Mini Freezer,https://images.craigslist.org/01313_aNuHGka1KU2z_0oc0nV_600x450.jpg,2021-09-04 15:36,( long beach / 562 ),$70
REFRIGERATORS! STOVES GENTLY USED,https://images.craigslist.org/00303_4dPZDb8gwLmz_0CI0t2_600x450.jpg,2021-09-04 15:35,(Van Nuys san fernando valley ),$0
All Sizes white top freezer REFRIGERATORS! GENTLY USED,https://images.craigslist.org/00w0w_jOqBM8jccNKz_0t20CI_600x450.jpg,2021-09-04 15:30,(Van Nuys san fernando valley ),$0
OPEN BOX FRONT LOAD WASHER IN STAINLESS STEEL,https://images.craigslist.org/01616_7yuMiOEroRjz_0HL0Wp_600x450.jpg,2021-09-04 15:29,(West Covina san gabriel valley ),$780
Bissell CrossWave Cordless Max Vacuum #2554,https://images.craigslist.org/00o0o_8R4aM5poTlZz_0t20CI_600x450.jpg,2021-09-04 15:25,(Los Angeles central LA 213/323 ),$320
Anova Nano Precision Cooker,https://images.craigslist.org/00N0N_e325lwcVb0Az_0t20CI_600x450.jpg,2021-09-04 15:25,(Los Angeles central LA 213/323 ),$85
Samsung 4.5 cu. ft front load washer,https://images.craigslist.org/00505_8LlZUsr86yMz_0oo0ww_600x450.jpg,2021-09-04 15:24,(Downtown long beach / 562 ),$200
Toto Toilet,https://images.craigslist.org/00H0H_afHCFZfoOjEz_0CI0t2_600x450.jpg,2021-09-04 15:24,(Palos Verdes Estates westside-southbay-310 ),$40
Air Conditioner Room,https://images.craigslist.org/00t0t_1NFyP7BhiKz_0g80aK_600x450.jpg,2021-09-04 15:23,(TORRANCE westside-southbay-310 ),$160
Charcoal Grill + accessories,https://images.craigslist.org/00101_fdNio4gncQLz_0t20CI_600x450.jpg,2021-09-04 15:22,(Los Feliz central LA 213/323 ),$70
&&& GREAT PRICE ON WASHER DRYER AND STACKABLE &&&,https://images.craigslist.org/00z0z_2LWGw5hfFbs_09G07g_600x450.jpg,2021-09-04 15:22,(OC/LA/IE long beach / 562 ),$130
Lasko Cyclone 20-inch Pivoting Floor Fan,https://images.craigslist.org/00j0j_buOzP3dXf38_0i90i0_600x450.jpg,2021-09-04 15:17,( central LA 213/323 ),$29
Margaritaville blender,https://images.craigslist.org/00g0g_6Jbu9v7oNnPz_0pS0t2_600x450.jpg,2021-09-04 15:16,(Agoura HILLS san fernando valley ),$50
